date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:34	659304/659304	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/p/about-me-gioi-thieu-ve-toi.html	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/p/about-me-gioi-thieu-ve-toi.html	(from https://phuongtanit.blogspot.com/)
18:21:35	656310/656310	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/p/skin-for-blogger-tabbed-layout-toc.html	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/p/skin-for-blogger-tabbed-layout-toc.html	(from https://phuongtanit.blogspot.com/)
18:21:37	431295/431295	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:21:36%20GMT	https://www.buymeacoffee.com/TanHongIT	C:/My%20Web%20Sites/phuongtanitblogspot/www.buymeacoffee.com/TanHongIT.html	(from https://phuongtanit.blogspot.com/)
18:21:38	751279/751279	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Development	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Development.html	(from https://phuongtanit.blogspot.com/)
18:21:39	716637/716637	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/IT%20%26%20Software	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/IT%20&%20Software.html	(from https://phuongtanit.blogspot.com/)
18:21:40	713786/713786	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/BUSINESS	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/BUSINESS.html	(from https://phuongtanit.blogspot.com/)
18:21:42	757506/757506	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Design	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Design.html	(from https://phuongtanit.blogspot.com/)
18:21:43	676287/676287	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Photography	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Photography.html	(from https://phuongtanit.blogspot.com/)
18:21:44	702565/702565	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Ph%c3%a1t%20tri%e1%bb%83n%20b%e1%ba%a3n%20th%c3%a2n	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Ph%c3%a1t%20tri%e1%bb%83n%20b%e1%ba%a3n%20th%c3%a2n.html	(from https://phuongtanit.blogspot.com/)
18:21:44	695425/695425	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Office%20Productivity	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Office%20Productivity.html	(from https://phuongtanit.blogspot.com/)
18:21:45	715384/715384	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/T%c3%a0i%20Li%e1%bb%87u%20M%e1%ba%a1ng	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/T%c3%a0i%20Li%e1%bb%87u%20M%e1%ba%a1ng.html	(from https://phuongtanit.blogspot.com/)
18:21:46	663311/663311	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/S%e1%bb%a9c%20kho%e1%ba%bb%20cu%e1%bb%99c%20s%e1%bb%91ng	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/S%e1%bb%a9c%20kho%e1%ba%bb%20cu%e1%bb%99c%20s%e1%bb%91ng.html	(from https://phuongtanit.blogspot.com/)
18:21:47	720319/720319	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Maketing	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Maketing.html	(from https://phuongtanit.blogspot.com/)
18:21:48	668873/668873	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Music	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Music.html	(from https://phuongtanit.blogspot.com/)
